time;V(/BIT_0);V(/BIT_1);V(/BIT_2);V(/Shaped_Out);
1.74542e-06;5;0;0;0.193628;
1.75542e-06;5;0;0;0.1917;
1.76542e-06;5;0;0;0.189791;
1.77542e-06;5;0;0;0.187901;
1.78542e-06;5;0;0;0.18603;
1.79542e-06;5;0;0;0.184178;
1.80542e-06;5;0;0;0.182344;
1.81542e-06;5;0;0;0.180528;
1.82542e-06;5;0;0;0.178731;
1.83542e-06;5;0;0;0.176951;
1.84542e-06;5;0;0;0.175189;
1.85542e-06;5;0;0;0.173445;
1.86542e-06;5;0;0;0.171718;
1.87542e-06;5;0;0;0.170008;
1.88542e-06;5;0;0;0.168315;
1.89542e-06;5;0;0;0.166639;
1.90542e-06;5;0;0;0.16498;
1.91542e-06;5;0;0;0.163337;
1.92542e-06;5;0;0;0.161711;
1.93542e-06;5;0;0;0.1601;
1.94542e-06;5;0;0;0.158506;
1.95542e-06;5;0;0;0.156928;
1.96542e-06;5;0;0;0.155365;
1.97542e-06;5;0;0;0.153818;
1.98542e-06;5;0;0;0.152287;
1.99542e-06;5;0;0;0.15077;
2.00542e-06;5;0;0;0.149269;
2.01542e-06;5;0;0;0.147783;
2.02542e-06;5;0;0;0.146311;
2.03542e-06;5;0;0;0.144854;
2.04542e-06;5;0;0;0.143412;
2.05542e-06;5;0;0;0.141984;
2.06542e-06;5;0;0;0.14057;
2.07542e-06;5;0;0;0.13917;
2.08542e-06;5;0;0;0.137785;
2.09542e-06;5;0;0;0.136413;
2.10542e-06;5;0;0;0.135054;
2.11542e-06;5;0;0;0.13371;
2.12542e-06;5;0;0;0.132378;
2.13542e-06;5;0;0;0.13106;
2.14542e-06;5;0;0;0.129755;
2.15542e-06;5;0;0;0.128463;
2.16542e-06;5;0;0;0.127184;
2.17542e-06;5;0;0;0.125917;
2.18542e-06;5;0;0;0.124664;
2.19542e-06;5;0;0;0.123422;
2.20542e-06;5;0;0;0.122193;
2.21542e-06;5;0;0;0.120976;
2.22542e-06;5;0;0;0.119772;
2.23542e-06;5;0;0;0.118579;
2.24542e-06;5;0;0;0.117398;
2.25542e-06;5;0;0;0.116229;
2.26542e-06;5;0;0;0.115072;
2.27542e-06;5;0;0;0.113926;
2.28542e-06;5;0;0;0.112792;
2.29542e-06;5;0;0;0.111669;
2.30542e-06;5;0;0;0.110557;
2.31542e-06;5;0;0;0.109456;
2.32542e-06;5;0;0;0.108366;
2.33542e-06;5;0;0;0.107287;
2.34542e-06;5;0;0;0.106219;
2.35542e-06;5;0;0;0.105161;
2.36542e-06;5;0;0;0.104114;
2.37542e-06;5;0;0;0.103077;
2.38542e-06;5;0;0;0.102051;
2.39542e-06;5;0;0;0.101034;
2.40542e-06;5;0;0;0.100028;
2.41542e-06;5;0;0;0.0990324;
2.41942e-06;5;0;0;0.0986367;
2.42042e-06;0;0;0;0.0985381;
2.42242e-06;0;0;0;0.0983411;
2.42642e-06;0;0;0;0.0979482;
2.43442e-06;0;0;0;0.0971672;
2.44442e-06;0;0;0;0.0961996;
2.45442e-06;0;0;0;0.0952417;
